AudioTime[s]	MeasId	WavId	Sensor X Id	Sensor X Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz
0.0388	0	855	0	55	63.416725	35.654179	-123.014660	0.994842	0.015387	-0.026681	0.096652	2	55	-84.484940	-23.962658	-25.599152	0.997002	0.067819	0.037264	0.000000	3	55	-85.940964	13.287918	-0.421890	0.673805	-0.732383	-0.097988	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	119								11	55								12	311								13	311								14	311								15	311							
0.0488	1	1075	0	55	63.412781	35.656502	-123.018430	0.994843	0.015360	-0.026666	0.096643	2	55	-84.468964	-23.973999	-25.599396	0.997007	0.067789	0.037171	0.000000	3	55	-85.940369	13.275959	-0.417099	0.673804	-0.732378	-0.098041	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	119								11	55								12	311								13	311								14	311								15	311							
0.0587	2	1295	0	55	63.406727	35.655697	-123.015140	0.994844	0.015351	-0.026649	0.096642	2	55	-84.469467	-23.973667	-25.604858	0.997005	0.067796	0.037219	0.000000	3	55	-85.938110	13.286404	-0.433723	0.673840	-0.732348	-0.098009	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.0687	3	1515	0	55	63.404072	35.658119	-123.013010	0.994846	0.015350	-0.026640	0.096626	2	55	-84.476669	-23.971151	-25.599541	0.996997	0.067857	0.037311	0.000000	3	55	-85.939011	13.288857	-0.446709	0.673862	-0.732326	-0.098026	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.0787	4	1736	0	55	63.407341	35.656719	-123.018890	0.994849	0.015297	-0.026654	0.096601	2	55	-84.485069	-23.957207	-25.588226	0.996984	0.067993	0.037408	0.000000	3	55	-85.938599	13.283772	-0.437500	0.673894	-0.732291	-0.098068	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.0887	5	1956	0	55	63.401962	35.654305	-123.018680	0.994851	0.015262	-0.026635	0.096588	2	55	-84.476303	-23.936596	-25.585533	0.996974	0.068143	0.037413	0.000000	3	55	-85.932007	13.284979	-0.444031	0.673922	-0.732267	-0.098051	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.0987	6	2176	0	55	63.403912	35.660450	-123.018420	0.994849	0.015291	-0.026645	0.096602	2	55	-84.478615	-23.955297	-25.582588	0.996983	0.068020	0.037397	0.000000	3	55	-85.931458	13.279526	-0.442963	0.673893	-0.732291	-0.098068	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.1087	7	2396	0	55	63.409924	35.661312	-123.025560	0.994851	0.015264	-0.026669	0.096578	2	55	-84.518730	-23.954985	-25.568687	0.996971	0.068063	0.037629	0.000000	3	55	-85.934578	13.278345	-0.429108	0.673923	-0.732263	-0.098073	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	119								11	55								12	311								13	311								14	311								15	311							
0.1187	8	2617	0	55	63.408741	35.659527	-123.016320	0.994848	0.015311	-0.026658	0.096602	2	55	-84.516037	-23.970156	-25.579338	0.996984	0.067904	0.037574	0.000000	3	55	-85.935982	13.281569	-0.441963	0.673883	-0.732303	-0.098049	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	119								11	55								12	311								13	311								14	311								15	311							
0.1287	9	2837	0	55	63.410172	35.658108	-123.012100	0.994849	0.015247	-0.026688	0.096595	2	55	-84.520523	-23.990156	-25.589371	0.996990	0.067802	0.037614	0.000000	3	55	-85.941498	13.287527	-0.445328	0.673952	-0.732240	-0.098047	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	119								11	55								12	311								13	311								14	311								15	311							
0.1386	10	3057	0	55	63.408253	35.654747	-123.017600	0.994850	0.015216	-0.026682	0.096589	2	55	-84.502441	-24.005220	-25.591209	0.997001	0.067692	0.037501	0.000000	3	55	-85.950287	13.281750	-0.441078	0.673955	-0.732231	-0.098094	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	119								11	55								12	311								13	311								14	311								15	311							
0.1486	11	3277	0	55	63.405155	35.654366	-123.008790	0.994846	0.015314	-0.026668	0.096621	2	55	-84.514748	-23.977657	-25.602676	0.996991	0.067811	0.037562	0.000000	3	55	-85.950974	13.288908	-0.461296	0.673894	-0.732295	-0.098035	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	119								11	55								12	311								13	311								14	311								15	311							
0.1586	12	3498	0	55	63.405697	35.651360	-123.011470	0.994845	0.015290	-0.026670	0.096629	2	55	-84.522820	-23.948267	-25.598656	0.996975	0.068016	0.037607	0.000000	3	55	-85.952988	13.289137	-0.457024	0.673904	-0.732283	-0.098054	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	119								11	55								12	311								13	311								14	311								15	311							
0.1686	13	3718	0	55	63.410759	35.654167	-123.016270	0.994845	0.015261	-0.026687	0.096637	2	55	-84.532761	-23.973513	-25.594673	0.996986	0.067847	0.037628	0.000000	3	55	-85.963554	13.284819	-0.448929	0.673912	-0.732280	-0.098026	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	119								11	55								12	311								13	311								14	311								15	311							
