Time[s]	MeasId	WavId	Sensor 1 Id	Sensor 1 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 3 Id	Sensor 3 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 4 Id	Sensor 4 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 5 Id	Sensor 5 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 6 Id	Sensor 6 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 7 Id	Sensor 7 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 8 Id	Sensor 8 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz
0.1154	12	2544	0	63	70.484940	41.772980	-116.840540	0.983162	0.065754	-0.000119	-0.170497	2	63	-87.548332	-51.099304	-6.127144	0.252183	0.510227	0.822236	0.000000	3	63	-103.077730	-29.509981	15.256950	0.694875	-0.207545	-0.688530	0.000000	4	63	-74.504990	-65.687195	14.656837	0.674329	-0.032408	0.737720	0.000000	5	63	-83.562233	-50.420639	14.404366	0.836491	-0.379543	0.395259	0.000000	6	63	-112.283470	-24.033493	17.142120	0.746485	-0.320414	-0.583176	0.000000	7	63	-82.999809	-8.895882	9.683350	0.645754	-0.680581	-0.346138	0.000000
0.1254	13	2764	0	63	70.379532	42.153320	-116.647510	0.983188	0.066917	0.000540	-0.169892	2	63	-87.483116	-51.077988	-6.216164	0.252847	0.509355	0.822573	0.000000	3	63	-103.092300	-29.451632	15.255722	0.694880	-0.208123	-0.688350	0.000000	4	63	-74.509521	-65.775864	14.585121	0.673567	-0.022325	0.738789	0.000000	5	63	-83.356384	-50.442513	14.348137	0.834114	-0.380617	0.399231	0.000000	6	63	-112.270770	-24.060062	17.259491	0.746301	-0.321396	-0.582871	0.000000	7	63	-82.968796	-8.883648	9.751564	0.645837	-0.680585	-0.345974	0.000000
0.1354	14	2985	0	63	70.253830	42.487858	-116.383560	0.983193	0.067882	0.001111	-0.169474	2	63	-87.499298	-51.083302	-6.267647	0.252896	0.510082	0.822107	0.000000	3	63	-103.082660	-29.413282	15.189407	0.694844	-0.208499	-0.688274	0.000000	4	63	-74.440620	-65.932274	14.510925	0.673372	-0.012663	0.739196	0.000000	5	63	-83.139664	-50.451710	14.222336	0.830828	-0.384058	0.402770	0.000000	6	63	-112.282590	-23.979948	17.206268	0.746282	-0.322613	-0.582223	0.000000	7	63	-82.997459	-8.898590	9.697540	0.645903	-0.680354	-0.346307	0.000000
0.1454	15	3205	0	63	70.128754	42.853508	-116.220000	0.983213	0.068630	0.001447	-0.169056	2	63	-87.533401	-51.109741	-6.182419	0.252569	0.510699	0.821824	0.000000	3	63	-103.084070	-29.424501	15.266113	0.694977	-0.208565	-0.688119	0.000000	4	63	-74.220985	-66.053192	14.579300	0.673740	-0.000502	0.738969	0.000000	5	63	-82.792526	-50.524197	14.194908	0.826630	-0.391331	0.404405	0.000000	6	63	-112.214290	-23.934072	17.313583	0.746046	-0.323778	-0.581878	0.000000	7	63	-83.002182	-8.924393	9.750229	0.645928	-0.680150	-0.346660	0.000000
0.1553	16	3425	0	63	70.002296	43.215889	-115.979600	0.983234	0.069925	0.001529	-0.168405	2	63	-87.539673	-51.097324	-6.095024	0.252815	0.512712	0.820495	0.000000	3	63	-103.069380	-29.405243	15.299904	0.694879	-0.208737	-0.688166	0.000000	4	63	-73.925476	-66.098175	14.640862	0.674790	0.014909	0.737859	0.000000	5	63	-82.383972	-50.500866	14.207268	0.821969	-0.402093	0.403346	0.000000	6	63	-112.210730	-23.833992	17.312691	0.745586	-0.325811	-0.581334	0.000000	7	63	-82.973694	-8.900764	9.772850	0.645447	-0.680530	-0.346809	0.000000
0.1653	17	3645	0	63	69.796555	43.593128	-115.691670	0.983264	0.071039	0.001900	-0.167757	2	63	-87.434731	-51.072807	-6.188477	0.253328	0.511767	0.820926	0.000000	3	63	-102.995760	-29.368633	15.208267	0.694621	-0.209062	-0.688327	0.000000	4	63	-73.521027	-66.141724	14.673393	0.676646	0.031405	0.735638	0.000000	5	63	-81.877533	-50.509674	14.029778	0.818420	-0.413351	0.399161	0.000000	6	63	-112.092970	-23.744093	17.154938	0.744817	-0.328873	-0.580594	0.000000	7	63	-82.943787	-8.900478	9.632103	0.645066	-0.680644	-0.347294	0.000000
0.1753	18	3866	0	63	69.661514	43.965752	-115.484680	0.983372	0.071365	0.002146	-0.166978	2	63	-87.485458	-51.027390	-6.269226	0.252975	0.510846	0.821609	0.000000	3	63	-103.035190	-29.379890	15.152412	0.694643	-0.209437	-0.688192	0.000000	4	63	-73.247849	-66.246208	14.631607	0.678864	0.049157	0.732617	0.000000	5	63	-81.403610	-50.421673	13.956917	0.816580	-0.425636	0.389911	0.000000	6	63	-112.029250	-23.591978	17.050209	0.744408	-0.332942	-0.578798	0.000000	7	63	-82.910835	-8.894688	9.646172	0.645104	-0.680655	-0.347203	0.000000
0.1853	19	4086	0	63	69.511841	44.348961	-115.277510	0.983414	0.072244	0.002100	-0.166354	2	63	-87.518089	-51.045849	-6.183762	0.252748	0.512056	0.820925	0.000000	3	63	-103.053280	-29.372997	15.163666	0.694679	-0.209393	-0.688168	0.000000	4	63	-72.904175	-66.394165	14.748581	0.682066	0.067216	0.728195	0.000000	5	63	-80.927353	-50.379189	13.934944	0.815040	-0.442600	0.373917	0.000000	6	63	-111.988040	-23.506578	16.979179	0.743856	-0.337116	-0.577088	0.000000	7	63	-82.992439	-8.923656	9.594696	0.644881	-0.680681	-0.347564	0.000000
0.1953	20	4306	0	63	69.358253	44.721443	-115.136880	0.983520	0.072706	0.002178	-0.165523	2	63	-87.515244	-51.071053	-6.252472	0.253087	0.510955	0.821506	0.000000	3	63	-103.089850	-29.388355	15.231758	0.694666	-0.209239	-0.688229	0.000000	4	63	-72.440765	-66.500252	14.873604	0.687305	0.086829	0.721160	0.000000	5	63	-80.420074	-50.305969	13.982643	0.814386	-0.463344	0.349409	0.000000	6	63	-111.971410	-23.344261	16.943817	0.743460	-0.340063	-0.575868	0.000000	7	63	-83.006744	-8.914356	9.626457	0.644802	-0.680962	-0.347162	0.000000
0.2053	21	4526	0	63	69.171158	45.134502	-114.940310	0.983577	0.073710	0.002204	-0.164737	2	63	-87.489120	-51.101803	-6.208664	0.253430	0.511386	0.821132	0.000000	3	63	-103.056850	-29.413364	15.236137	0.694490	-0.209458	-0.688339	0.000000	4	63	-71.783447	-66.671432	15.110748	0.694416	0.107228	0.711540	0.000000	5	63	-79.892731	-50.246002	14.022820	0.813580	-0.486518	0.318415	0.000000	6	63	-111.862500	-23.251663	16.900887	0.742763	-0.342669	-0.575222	0.000000	7	63	-82.995552	-8.882885	9.624496	0.644551	-0.681283	-0.346998	0.000000
